Observation ID,Common Name,Scientific Name,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Country/Region,Habitat Type,Conservation Status
2,American Crocodile,Crocodylus acutus,Crocodylus,4.09,334.5,Adult,Male,Venezuela,Mangroves,Vulnerable
14,American Crocodile,Crocodylus acutus,Crocodylus,3.65,217.7,Adult,Male,Mexico,Mangroves,Vulnerable
32,American Crocodile,Crocodylus acutus,Crocodylus,4.11,324.4,Adult,Female,USA (Florida),Mangroves,Vulnerable
47,American Crocodile,Crocodylus acutus,Crocodylus,3.04,155.0,Adult,Unknown,Colombia,Estuaries,Vulnerable
51,American Crocodile,Crocodylus acutus,Crocodylus,3.57,229.3,Adult,Female,USA (Florida),Mangroves,Vulnerable
69,American Crocodile,Crocodylus acutus,Crocodylus,3.66,262.6,Adult,Unknown,Venezuela,Brackish Rivers,Vulnerable
89,American Crocodile,Crocodylus acutus,Crocodylus,2.76,152.5,Adult,Unknown,Costa Rica,Coastal Lagoons,Vulnerable
93,American Crocodile,Crocodylus acutus,Crocodylus,3.88,273.6,Adult,Unknown,Mexico,Coastal Lagoons,Vulnerable
126,American Crocodile,Crocodylus acutus,Crocodylus,3.04,190.0,Adult,Male,Costa Rica,Coastal Lagoons,Vulnerable
129,American Crocodile,Crocodylus acutus,Crocodylus,3.32,213.1,Adult,Unknown,Mexico,Coastal Lagoons,Vulnerable
170,American Crocodile,Crocodylus acutus,Crocodylus,0.36,70.2,Hatchling,Female,Costa Rica,Coastal Lagoons,Vulnerable
174,American Crocodile,Crocodylus acutus,Crocodylus,3.75,259.1,Subadult,Unknown,USA (Florida),Brackish Rivers,Vulnerable
176,American Crocodile,Crocodylus acutus,Crocodylus,1.69,90.7,Juvenile,Female,Mexico,Coastal Lagoons,Vulnerable
200,American Crocodile,Crocodylus acutus,Crocodylus,3.88,266.2,Adult,Male,Colombia,Mangroves,Vulnerable
214,American Crocodile,Crocodylus acutus,Crocodylus,2.44,113.3,Juvenile,Male,Mexico,Coastal Lagoons,Vulnerable
222,American Crocodile,Crocodylus acutus,Crocodylus,2.77,130.0,Adult,Female,Mexico,Estuaries,Vulnerable
225,American Crocodile,Crocodylus acutus,Crocodylus,1.92,107.4,Juvenile,Female,Mexico,Brackish Rivers,Vulnerable
238,American Crocodile,Crocodylus acutus,Crocodylus,1.01,84.2,Juvenile,Male,Venezuela,Brackish Rivers,Vulnerable
250,American Crocodile,Crocodylus acutus,Crocodylus,2.8,165.3,Adult,Male,Cuba,Coastal Lagoons,Vulnerable
257,American Crocodile,Crocodylus acutus,Crocodylus,3.51,241.3,Adult,Unknown,Cuba,Estuaries,Vulnerable
264,American Crocodile,Crocodylus acutus,Crocodylus,0.58,75.8,Hatchling,Male,Costa Rica,Estuaries,Vulnerable
279,American Crocodile,Crocodylus acutus,Crocodylus,1.78,96.7,Juvenile,Male,Colombia,Coastal Lagoons,Vulnerable
324,American Crocodile,Crocodylus acutus,Crocodylus,3.3,218.0,Subadult,Female,USA (Florida),Mangroves,Vulnerable
341,American Crocodile,Crocodylus acutus,Crocodylus,3.05,188.0,Adult,Female,Colombia,Mangroves,Vulnerable
362,American Crocodile,Crocodylus acutus,Crocodylus,2.02,92.5,Juvenile,Unknown,Colombia,Coastal Lagoons,Vulnerable
379,American Crocodile,Crocodylus acutus,Crocodylus,3.25,194.1,Subadult,Female,Venezuela,Mangroves,Vulnerable
381,American Crocodile,Crocodylus acutus,Crocodylus,4.07,352.7,Adult,Female,Colombia,Brackish Rivers,Vulnerable
385,American Crocodile,Crocodylus acutus,Crocodylus,3.14,196.7,Adult,Male,Colombia,Coastal Lagoons,Vulnerable
415,American Crocodile,Crocodylus acutus,Crocodylus,3.07,195.5,Adult,Unknown,Colombia,Mangroves,Vulnerable
423,American Crocodile,Crocodylus acutus,Crocodylus,3.02,183.4,Adult,Unknown,Venezuela,Coastal Lagoons,Vulnerable
435,American Crocodile,Crocodylus acutus,Crocodylus,3.36,196.1,Adult,Male,Mexico,Brackish Rivers,Vulnerable
437,American Crocodile,Crocodylus acutus,Crocodylus,0.49,63.2,Hatchling,Female,Colombia,Coastal Lagoons,Vulnerable
444,American Crocodile,Crocodylus acutus,Crocodylus,3.85,273.7,Adult,Unknown,Colombia,Mangroves,Vulnerable
448,American Crocodile,Crocodylus acutus,Crocodylus,1.54,91.4,Juvenile,Unknown,Cuba,Brackish Rivers,Vulnerable
462,American Crocodile,Crocodylus acutus,Crocodylus,3.75,239.0,Adult,Male,Cuba,Mangroves,Vulnerable
474,American Crocodile,Crocodylus acutus,Crocodylus,2.68,141.8,Adult,Male,Cuba,Brackish Rivers,Vulnerable
482,American Crocodile,Crocodylus acutus,Crocodylus,1.68,102.0,Juvenile,Unknown,Costa Rica,Estuaries,Vulnerable
485,American Crocodile,Crocodylus acutus,Crocodylus,2.86,144.4,Adult,Male,Cuba,Mangroves,Vulnerable
514,American Crocodile,Crocodylus acutus,Crocodylus,3.94,324.6,Adult,Male,Cuba,Mangroves,Vulnerable
515,American Crocodile,Crocodylus acutus,Crocodylus,0.28,73.1,Hatchling,Unknown,USA (Florida),Estuaries,Vulnerable
578,American Crocodile,Crocodylus acutus,Crocodylus,3.62,210.4,Subadult,Unknown,Venezuela,Mangroves,Vulnerable
597,American Crocodile,Crocodylus acutus,Crocodylus,2.97,168.8,Subadult,Female,Mexico,Estuaries,Vulnerable
605,American Crocodile,Crocodylus acutus,Crocodylus,0.37,78.9,Hatchling,Female,Cuba,Estuaries,Vulnerable
618,American Crocodile,Crocodylus acutus,Crocodylus,2.6,130.0,Subadult,Unknown,Colombia,Estuaries,Vulnerable
629,American Crocodile,Crocodylus acutus,Crocodylus,3.71,275.8,Subadult,Unknown,Colombia,Mangroves,Vulnerable
679,American Crocodile,Crocodylus acutus,Crocodylus,4.18,311.2,Adult,Female,Cuba,Brackish Rivers,Vulnerable
694,American Crocodile,Crocodylus acutus,Crocodylus,2.24,97.0,Juvenile,Male,Colombia,Coastal Lagoons,Vulnerable
714,American Crocodile,Crocodylus acutus,Crocodylus,2.63,140.2,Juvenile,Unknown,USA (Florida),Mangroves,Vulnerable
723,American Crocodile,Crocodylus acutus,Crocodylus,2.76,167.6,Subadult,Male,Mexico,Coastal Lagoons,Vulnerable
736,American Crocodile,Crocodylus acutus,Crocodylus,4.33,418.1,Adult,Female,Cuba,Estuaries,Vulnerable
742,American Crocodile,Crocodylus acutus,Crocodylus,3.57,238.3,Adult,Female,Cuba,Mangroves,Vulnerable
746,American Crocodile,Crocodylus acutus,Crocodylus,3.64,211.9,Adult,Unknown,Cuba,Brackish Rivers,Vulnerable
750,American Crocodile,Crocodylus acutus,Crocodylus,3.62,280.0,Subadult,Male,Costa Rica,Coastal Lagoons,Vulnerable
783,American Crocodile,Crocodylus acutus,Crocodylus,2.94,164.0,Adult,Male,USA (Florida),Mangroves,Vulnerable
784,American Crocodile,Crocodylus acutus,Crocodylus,3.18,215.0,Adult,Unknown,Cuba,Mangroves,Vulnerable
807,American Crocodile,Crocodylus acutus,Crocodylus,3.45,201.3,Adult,Female,Colombia,Estuaries,Vulnerable
813,American Crocodile,Crocodylus acutus,Crocodylus,4.18,349.6,Adult,Unknown,Mexico,Coastal Lagoons,Vulnerable
830,American Crocodile,Crocodylus acutus,Crocodylus,1.51,84.7,Juvenile,Male,Costa Rica,Estuaries,Vulnerable
839,American Crocodile,Crocodylus acutus,Crocodylus,2.71,124.6,Adult,Unknown,Cuba,Coastal Lagoons,Vulnerable
846,American Crocodile,Crocodylus acutus,Crocodylus,2.46,112.5,Juvenile,Female,Cuba,Brackish Rivers,Vulnerable
863,American Crocodile,Crocodylus acutus,Crocodylus,2.8,157.6,Adult,Male,Mexico,Estuaries,Vulnerable
884,American Crocodile,Crocodylus acutus,Crocodylus,3.09,187.3,Subadult,Unknown,Venezuela,Brackish Rivers,Vulnerable
885,American Crocodile,Crocodylus acutus,Crocodylus,1.81,99.8,Juvenile,Female,USA (Florida),Mangroves,Vulnerable
924,American Crocodile,Crocodylus acutus,Crocodylus,3.74,252.0,Adult,Unknown,Cuba,Estuaries,Vulnerable
952,American Crocodile,Crocodylus acutus,Crocodylus,3.67,269.8,Adult,Unknown,Cuba,Brackish Rivers,Vulnerable
973,American Crocodile,Crocodylus acutus,Crocodylus,3.25,204.5,Adult,Male,Cuba,Coastal Lagoons,Vulnerable
